"Year","PDO1","PDO2","PDO3","species","catch"
1979,-0.594,-0.117,0.0413333333333332,"Pink-odd",NA
1980,0.36,0.645,0.232,"Pink-odd",-0.11505503969428
1981,0.93,0.543,0.482,"Pink-odd",NA
1982,0.156,0.325,0.526666666666667,"Pink-odd",-0.101093285429389
1983,0.494,0.955,0.688666666666666,"Pink-odd",NA
1984,1.416,0.92,0.778,"Pink-odd",0.327697477729636
1985,0.424,0.581,0.859333333333333,"Pink-odd",NA
1986,0.738,1.119,0.887333333333333,"Pink-odd",-0.375893504460169
1987,1.5,1.058,0.951333333333333,"Pink-odd",NA
1988,0.616,-0.115,0.423333333333333,"Pink-odd",0.401074494719371
1989,-0.846,-0.799,-0.327333333333333,"Pink-odd",NA
1990,-0.752,-1.189,-1.07466666666667,"Pink-odd",0.698676429696904
1991,-1.626,-0.764,-0.76,"Pink-odd",NA
1992,0.098,0.204,-0.406,"Pink-odd",0.52869155327615
1993,0.31,0.475,0.349333333333333,"Pink-odd",NA
1994,0.64,-0.142,0.0086666666666666,"Pink-odd",0.698677098584386
1995,-0.924,-0.155,0.11,"Pink-odd",NA
1996,0.614,0.455,-0.00466666666666675,"Pink-odd",0.0861117573402293
1997,0.296,0.783,0.726666666666667,"Pink-odd",NA
1998,1.27,0.159,0.204666666666667,"Pink-odd",0.836610327262982
1999,-0.952,-1.268,-0.422,"Pink-odd",NA
2000,-1.584,-0.853,-0.886,"Pink-odd",0.695420883945345
2001,-0.122,-0.553,-0.896666666666667,"Pink-odd",NA
2002,-0.984,0.173,0.0746666666666665,"Pink-odd",0.665093818057012
2003,1.33,0.539,0.0313333333333332,"Pink-odd",NA
2004,-0.252,-0.251,0.276,"Pink-odd",0.940899651175863
2005,-0.25,-0.299,-0.283333333333333,"Pink-odd",NA
2006,-0.348,-0.542,-0.444666666666667,"Pink-odd",0.813504271938883
2007,-0.736,-1.004,-0.785333333333333,"Pink-odd",NA
2008,-1.272,-1.473,-1.22733333333333,"Pink-odd",0.37703179469528
2009,-1.674,-0.989,-1.08333333333333,"Pink-odd",NA
2010,-0.304,-0.957,-1.196,"Pink-odd",0.580917973197478
2011,-1.61,-1.79,-1.29466666666667,"Pink-odd",NA
2012,-1.97,-1.511,-1.544,"Pink-odd",1.28498748287462
2013,-1.052,-0.831,-1.21066666666667,"Pink-odd",NA
2014,-0.61,0.525,-0.000666666666666875,"Pink-odd",1.12187749921461
2015,1.66,1.263,0.638666666666666,"Pink-odd",NA
2016,0.866,0.611,0.960666666666667,"Pink-odd",0.803921669302815
2017,0.356,0.08,0.342,"Pink-odd",NA
2018,-0.196,-0.275,-0.0646666666666668,"Pink-odd",0.512240805690415
2019,-0.354,-0.55575,-0.435833333333333,"Pink-odd",NA
1963,-0.082,-0.0430000000000001,-0.460666666666667,"Sockeye",-1.14512618536165
1964,-0.00399999999999999,-0.315,-0.237333333333333,"Sockeye",-1.08934570288347
1965,-0.626,-0.463,-0.31,"Sockeye",-1.67921637897966
1966,-0.3,-0.391,-0.469333333333333,"Sockeye",-1.23747848541192
1967,-0.482,-0.379,-0.352666666666667,"Sockeye",-1.48354388119614
1968,-0.276,-0.493,-0.489333333333333,"Sockeye",-0.728793234818223
1969,-0.71,0.129,-0.00600000000000014,"Sockeye",-1.58094882935824
1970,0.968,-0.154,-0.339333333333333,"Sockeye",-1.69209133974266
1971,-1.276,-1.519,-0.69,"Sockeye",-1.90893602815596
1972,-1.762,-1.095,-1.15533333333333,"Sockeye",-2.084647527715
1973,-0.428,-0.82,-1.134,"Sockeye",-2.73190215360437
