Year,SST1,SST2,SST3,species,catch
1969,4.741088442,5.39083882,5.472941901,Pink-odd,NA
1970,6.040589198,5.689173546,5.373145178,Pink-odd,-1.099145835
1971,5.337757894,4.934274256,5.303045903,Pink-odd,NA
1972,4.530790618,4.748310283,4.94479282,Pink-odd,-2.029735816
1973,4.965829949,4.994233951,4.83975284,Pink-odd,NA
1974,5.022637953,5.225162943,5.138718612,Pink-odd,-1.729249186
1975,5.427687933,5.200905891,5.141483245,Pink-odd,NA
1976,4.974123848,5.46962217,5.455644091,Pink-odd,-0.892680455
1977,5.965120492,5.666879335,5.43596084,Pink-odd,NA
1978,5.368638179,5.553368017,5.690618842,Pink-odd,-0.310964816
1979,5.738097855,5.796978448,5.654198358,Pink-odd,NA
1980,5.85585904,5.915130234,5.856119441,Pink-odd,-0.11505504
1981,5.974401427,5.860888378,5.859211932,Pink-odd,NA
1982,5.747375329,5.773553778,5.840502994,Pink-odd,-0.101093285
1983,5.799732227,6.031696157,5.936922547,Pink-odd,NA
1984,6.263660087,6.253619974,6.102324058,Pink-odd,0.327697478
1985,6.243579861,5.893192603,6.016681764,Pink-odd,NA
1986,5.542805345,6.128771114,6.167040696,Pink-odd,-0.375893504
1987,6.714736883,6.41222114,6.122415875,Pink-odd,NA
1988,6.109705396,5.757621094,6.07665969,Pink-odd,0.401074495
1989,5.405536791,5.463681274,5.679022648,Pink-odd,NA
1990,5.521825757,5.398600946,5.400912894,Pink-odd,0.69867643
1991,5.275376134,5.544373164,5.536857361,Pink-odd,NA
1992,5.813370193,5.686728425,5.549610995,Pink-odd,0.528691553
1993,5.560086657,5.939950683,5.897757186,Pink-odd,NA
1994,6.319814708,5.774553834,5.703064775,Pink-odd,0.698677099
1995,5.22929296,5.359338933,5.679497525,Pink-odd,NA
1996,5.489384906,5.464606812,5.386168861,Pink-odd,0.086111757
1997,5.439828718,5.931343515,5.784023979,Pink-odd,NA
1998,6.422858311,6.271075727,5.993993391,Pink-odd,0.836610327
1999,6.119293143,5.722382434,5.955874393,Pink-odd,NA
2000,5.325471726,5.671765514,5.82094139,Pink-odd,0.695420884
2001,6.018059302,5.707251554,5.579991612,Pink-odd,NA
2002,5.396443806,6.167269295,6.117532631,Pink-odd,0.665093818
2003,6.938094784,6.414977434,6.075466225,Pink-odd,NA
2004,5.891860084,5.892401458,6.2409659,Pink-odd,0.940899651
